id,country,location,long,lat,where_prec
139,Angola,Bengo,13.82743,-8.97504,2
147,Angola,Kamatende,18.5,-12.5,6
148,Angola,Keutepwe,18.5,-12.5,5
149,Angola,Kifangondo,13.4331,-8.76514,1
151,Angola,Kwanza Norte,18.5,-12.5,4
156,Angola,Luau,22.22466,-10.70727,1
160,Angola,Malanje,16.34096,-9.54015,1
161,Angola,Moxico,15.36106,-11.48367,4
163,Angola,Sungi,13.46375,-6.47257,6
166,Angola,Viana,15.93338,-8.84649,2
593,Burundi,Butare : Point,29.23333,-2.78611,1
595,Burundi,Bwagiriza : Point,30.29997,-3.34759,6
597,Burundi,Cibitoke,29.25,-2.88333,2
598,Burundi,Cishemeye,30,-3.5,6
601,Burundi,Gatumba,29.859,-3.7541,2
602,Burundi,Giharo,30.2348,-3.7791,2
603,Burundi,Gihinga,30.0535,-3.2787,3
607,Burundi,Mugano,30.41875,-2.60179,3
612,Burundi,Rugombo,29.082,-2.8095,2
613,Burundi,Rwisuri,30.0267,-2.7233,6
450,Benin,Agame,1.76048,6.72748,1
453,Benin,Come,1.88198,6.40764,1
456,Benin,Kpomasse,2.021,6.461,2
569,Burkina Faso,Damba,-2,13,6
587,Burkina Faso,Sag-Nioniogo : Point,-0.75,12.58333,6
633,C�Ã�´te D'Ivoire,Nicla,-5,8,6
643,C�Ã�´te D'Ivoire,Zone d'accueil,-5,8,6
5785,Cameroon,Bandongoue,14.21667,4.4,6
5786,Cameroon,Barka Lamou,12,6,6
5788,Cameroon,Bebarang,12,6,6
5789,Cameroon,Belebina,12,6,6
5790,Cameroon,Belimbam,14.76667,4.33333,6
5791,Cameroon,Belita II,14.7,4.38333,6
5793,Cameroon,Bimbappe,12,6,6
5794,Cameroon,Bindiba,14.38333,6.06667,6
683,Cameroon,Boforo,14.78333,7.15,6
5795,Cameroon,Bombe Bakari,14.93333,7.25,6
5796,Cameroon,Bombe Chateau,12,6,6
5798,Cameroon,Bougogo,14.35,4.5,6
695,Cameroon,Colomine,12,6,6
5800,Cameroon,Diel,12,6,6
5801,Cameroon,Dip,10.26841,5.02036,6
5802,Cameroon,Djakone,12,6,6
5803,Cameroon,Djallo,12,6,6
